IBGE,IBGE6,CIDADE,ANO,BCG,PENTA,ROTA,MENINGOC,PNEUMO,POLIO,HEPB,IDHM,IDHM Renda,IDHM Educação,IDHM Longevidade,AREA_TERRITORIAL,PIB_PERCAPTA,DENSIDADE_DEMOGRAFICA,POPULACAO,MACRORREGIAO,PARTIDO PREFEITOS,POSTOS,mae_s_instru,mae_inst_1_8_anos,mae_inst_8_11_anos,mae_inst_12m_anos,pop_urb(%)
4301909.0,430190.0,BARRA DO RIBEIRO,2012,71.8518518518518,34.0740740740741,74.0740740740741,75.5555555555556,58.5185185185185,85.9259259259259,74.0740740740741,0.67,0.691,0.529,0.822,729.316,47529.99,16.76,12225,Metropolitana,,3,,36,65,16,76.7
4301925.0,430192.0,BARRA DO RIO AZUL,2012,78.9473684210526,47.3684210526316,73.6842105263158,89.4736842105263,94.7368421052632,84.2105263157895,94.7368421052632,0.723,0.703,0.638,0.842,146.995,46327.23,11.54,1696,Norte,,1,,,11,,27.4
4301958.0,430195.0,BARRA FUNDA,2012,177.777777777778,55.5555555555556,133.333333333333,138.888888888889,127.777777777778,100.0,105.555555555556,0.763,0.731,0.71,0.856,60.437,67006.24,41.33,2498,Norte,,1,,,20,,72.1
4302006.0,430200.0,BARROS CASSAL,2012,81.8181818181818,31.0606060606061,89.3939393939394,96.2121212121212,92.4242424242424,93.1818181818182,87.8787878787879,0.65,0.69,0.5,0.795,647.994,29526.03,14.35,9296,Norte,,2,,65,42,15,44.3
4302055.0,430205.0,BENJAMIN CONSTANT DO SUL,2012,73.3333333333333,26.6666666666667,53.3333333333333,53.3333333333333,66.6666666666667,86.6666666666667,96.6666666666667,0.619,0.601,0.492,0.801,132.351,24008.87,15.73,2082,Norte,,1,,16,,,22.6
4302105.0,430210.0,BENTO GONÇALVES,2012,115.971107544141,47.8330658105939,111.23595505618,105.61797752809,96.7897271268058,102.006420545746,105.29695024077,0.778,0.805,0.695,0.842,272.287,73589.32,452.28,123151,Serra,,14,,249,747,406,95.1
4302154.0,430215.0,BOA VISTA DAS MISSÕES,2012,86.9565217391304,21.7391304347826,43.4782608695652,108.695652173913,52.1739130434783,43.4782608695652,56.5217391304348,0.676,0.666,0.561,0.825,196.064,89601.64,9.86,1933,Norte,,1,,9,11,,62.5
4302204.0,430220.0,BOA VISTA DO BURICÁ,2012,41.2698412698413,47.6190476190476,122.222222222222,111.111111111111,106.349206349206,98.4126984126984,106.349206349206,0.762,0.761,0.697,0.834,109.541,50904.66,63.59,6966,Missioneira,,2,,2,42,20,70.8
4302220.0,430222.0,BOA VISTA DO CADEADO,2012,26.3157894736842,0.0,36.8421052631579,42.1052631578947,42.1052631578947,36.8421052631579,42.1052631578947,0.703,0.692,0.59,0.851,701.221,121126.48,3.18,2229,Missioneira,,1,,,,,28.4
4302238.0,430223.0,BOA VISTA DO INCRA,2012,96.969696969697,30.3030303030303,112.121212121212,81.8181818181818,96.969696969697,84.8484848484848,96.969696969697,0.731,0.703,0.641,0.867,504.114,86745.26,4.50,2271,Missioneira,,1,,,,,41.4
4302253.0,430225.0,BOA VISTA DO SUL,2012,100.0,53.8461538461538,138.461538461538,153.846153846154,130.769230769231,146.153846153846,146.153846153846,0.728,0.77,0.587,0.852,93.108,48546.88,29.44,2779,Serra,,,,5,8,,16.7
4302303.0,430230.0,BOM JESUS,2012,92.5,38.75,81.875,105.625,110.0,95.0,104.375,0.666,0.697,0.51,0.832,2622.837,52972.91,4.27,11202,Serra,,3,,93,48,10,78.9
4302352.0,430235.0,BOM PRINCÍPIO,2012,123.809523809524,57.9365079365079,104.761904761905,127.777777777778,122.222222222222,113.492063492063,130.15873015873,0.746,0.751,0.661,0.836,90.023,72364.87,148.23,13142,Serra,,4,,45,85,29,83.8
4302378.0,430237.0,BOM PROGRESSO,2012,95.8333333333333,29.1666666666667,100.0,87.5,112.5,95.8333333333333,79.1666666666667,0.723,0.7,0.643,0.84,89.206,35111.31,23.50,2096,Norte,,1,,,15,,59.8
4302402.0,430240.0,BOM RETIRO DO SUL,2012,80.3921568627451,30.718954248366,70.5882352941177,76.4705882352941,73.8562091503268,75.1633986928105,71.2418300653595,0.739,0.725,0.649,0.857,102.540,41461.26,119.89,12294,Vales,,1,,30,96,23,80.4
4302451.0,430245.0,BOQUEIRÃO DO LEÃO,2012,71.6814159292035,7.9646017699115,69.9115044247788,68.141592920354,70.7964601769911,55.7522123893805,67.2566371681416,0.7,0.725,0.562,0.843,257.789,31882.12,23.49,6247,Vales,,2,,41,34,,26.7
4302501.0,430250.0,BOSSOROCA,2012,60.4651162790698,24.4186046511628,69.7674418604651,70.9302325581395,67.4418604651163,55.8139534883721,51.1627906976744,0.692,0.665,0.608,0.821,1610.056,42538.23,3.66,5890,Missioneira,,4,,17,35,9,58.3
4302584.0,430258.0,BOZANO,2012,61.1111111111111,50.0,77.7777777777778,83.3333333333333,100.0,88.8888888888889,100.0,0.745,0.773,0.628,0.853,200.497,55520.54,10.73,2151,Missioneira,,,,,,,37.1
4302600.0,430260.0,BRAGA,2012,75.6756756756757,35.1351351351351,91.8918918918919,116.216216216216,127.027027027027,110.810810810811,127.027027027027,0.674,0.656,0.563,0.83,132.044,33487.97,24.75,3268,Norte,,2,,15,10,2,70.4
4302659.0,430265.0,BROCHIER,2012,100.0,35.7142857142857,117.857142857143,107.142857142857,92.8571428571429,96.4285714285714,100.0,0.699,0.723,0.554,0.851,105.353,26634.21,47.14,4966,Metropolitana,,1,,14,,,49.7
4302709.0,430270.0,BUTIÁ,2012,83.921568627451,15.2941176470588,75.6862745098039,70.9803921568627,87.843137254902,68.2352941176471,85.4901960784314,0.689,0.691,0.558,0.848,752.187,29714.98,25.37,19084,Metropolitana,,1,,86,97,32,96.4
4302808.0,430280.0,CAÇAPAVA DO SUL,2012,90.7821229050279,18.7150837988827,91.8994413407821,92.7374301675978,92.7374301675978,92.4581005586592,94.9720670391062,0.704,0.699,0.585,0.855,3048.147,36161.85,10.67,32515,Vales,,6,,127,156,65,77.5
4302907.0,430290.0,CACEQUI,2012,36.9426751592357,47.7707006369427,79.6178343949045,84.0764331210191,78.9808917197452,84.7133757961783,94.2675159235669,0.7,0.68,0.626,0.807,2373.507,50804.25,4.70,11157,Centro-Oeste,,4,,45,74,7,80.3
4303004.0,430300.0,CACHOEIRA DO SUL,2012,95.6140350877193,35.0877192982456,71.9298245614035,84.1130604288499,77.3879142300195,71.9298245614035,86.9395711500975,0.742,0.739,0.648,0.854,3736.064,42103.62,21.43,80070,Vales,,7,,239,599,156,86.4
4303103.0,430310.0,CACHOEIRINHA,2012,103.262736119061,30.452203777905,72.3526044647968,87.2352604464797,82.5414997137951,73.4974241556955,79.4504865483686,0.757,0.749,0.675,0.857,43.760,57110.95,3112.48,136258,Metropolitana,,8,,361,1240,309,100.0
4303202.0,430320.0,CACIQUE DOBLE,2012,82.6086956521739,45.6521739130435,108.695652173913,102.173913043478,102.173913043478,91.304347826087,143.478260869565,0.662,0.677,0.528,0.81,203.582,33461.31,22.56,4603,Norte,,2,,23,25,7,37.2
4303301.0,430330.0,CAIBATÉ,2012,97.6744186046512,39.5348837209302,120.93023255814,132.558139534884,137.209302325581,132.558139534884,109.302325581395,0.719,0.709,0.611,0.857,261.280,38352.88,18.00,4704,Missioneira,,2,,14,20,8,65.9
4303400.0,430340.0,CAIÇARA,2012,91.0714285714286,33.9285714285714,78.5714285714286,71.4285714285714,73.2142857142857,67.8571428571429,80.3571428571429,0.699,0.721,0.58,0.817,189.071,33063.37,25.57,4836,Norte,,2,,12,29,9,44.0
4303509.0,430350.0,CAMAQUÃ,2012,104.101838755304,25.6011315417256,74.6817538896747,86.987270155587,71.1456859971711,70.4384724186704,85.1485148514851,0.697,0.715,0.578,0.819,1679.242,50718.28,37.02,62200,Metropolitana,,1,7,380,274,118,81.3
4303558.0,430355.0,CAMARGO,2012,63.6363636363636,27.2727272727273,87.8787878787879,72.7272727272727,78.7878787878788,63.6363636363636,72.7272727272727,0.736,0.762,0.612,0.854,138.069,205446,21.59,2981,Norte,,1,,,11,,61.7
4303608.0,430360.0,CAMBARÁ DO SUL,2012,78.0487804878049,26.8292682926829,78.0487804878049,91.4634146341463,74.390243902439,70.7317073170732,79.2682926829268,0.697,0.705,0.574,0.838,1181.811,43284.42,5.38,6361,Metropolitana,,4,,20,31,10,72.9
4303673.0,430367.0,CAMPESTRE DA SERRA,2012,114.814814814815,33.3333333333333,92.5925925925926,92.5925925925926,66.6666666666667,74.0740740740741,107.407407407407,0.706,0.713,0.557,0.886,538.487,73041.98,6.02,3242,Serra,,1,,13,13,,41.9
4303707.0,430370.0,CAMPINA DAS MISSÕES,2012,106.666666666667,13.3333333333333,117.777777777778,113.333333333333,113.333333333333,113.333333333333,122.222222222222,0.738,0.698,0.677,0.849,224.792,34643.22,26.17,5882,Missioneira,,2,,,34,10,45.1
4303806.0,430380.0,CAMPINAS DO SUL,2012,141.860465116279,72.0930232558139,104.651162790698,120.93023255814,139.53488372093,172.093023255814,167.441860465116,0.76,0.753,0.691,0.842,276.162,55805.19,19.13,5284,Norte,,2,,,30,,81.6
4303905.0,430390.0,CAMPO BOM,2012,98.0744544287548,48.5237483953787,103.080872913992,107.060333761232,106.418485237484,101.026957637997,104.878048780488,0.745,0.755,0.643,0.852,60.562,72015.35,1038.08,62886,Metropolitana,,12,,213,512,127,96.2
