ç
"Município","ibge","latitude","longitude","Especial Censo 2022/População/Situação do domicílio/Percentual de População Urbana 2022 (%)"
"Herveiras","4309571","-29,457044000000","-52,650171000000","22,0"
"Horizontina","4309605","-27,630097000000","-54,308792000000","84,9"
"Hulha Negra","4309654","-31,405098000000","-53,867825000000","42,8"
"Humaitá","4309704","-27,561490000000","-53,976506000000","63,2"
"Ibarama","4309753","-29,420744000000","-53,133200000000","32,5"
"Ibiaçá","4309803","-28,048850000000","-51,857252000000","69,6"
"Ibiraiaras","4309902","-28,369227000000","-51,635324000000","56,5"
"Ibirapuitã","4309951","-28,615020000000","-52,519386000000","68,6"
"Ibirubá","4310009","-28,627608000000","-53,088354000000","83,3"
"Igrejinha","4310108","-29,572220000000","-50,798711000000","93,7"
"Ijuí","4310207","-28,388537000000","-53,918067000000","91,4"
"Ilópolis","4310306","-28,929153000000","-52,122157000000","56,1"
"Imbé","4310330","-29,974778000000","-50,130580000000","100,0"
"Imigrante","4310363","-29,352158000000","-51,770191000000","57,2"
"Independência","4310405","-27,847332000000","-54,188108000000","69,8"
"Inhacorá","4310413","-27,880454000000","-54,012546000000","64,7"
"Ipê","4310439","-28,818328000000","-51,279910000000","59,3"
"Ipiranga do Sul","4310462","-27,935984000000","-52,425061000000","42,9"
"Iraí","4310504","-27,192282000000","-53,264296000000","57,6"
"Itaara","4310538","-29,602888000000","-53,757849000000","80,5"
"Itacurubi","4310553","-28,802205000000","-55,232723000000","45,8"
"Itapuca","4310579","-28,780296000000","-52,172367000000","28,1"
"Itaqui","4310603","-29,128637000000","-56,557133000000","89,2"
"Itati","4310652","-29,500248000000","-50,101782000000","32,4"
"Itatiba do Sul","4310702","-27,383292000000","-52,452443000000","54,2"
"Ivorá","4310751","-29,519534000000","-53,580886000000","37,8"
"Ivoti","4310801","-29,594157000000","-51,159574000000","92,0"
"Jaboticaba","4310850","-27,631222000000","-53,284389000000","51,8"
"Jacuizinho","4310876","-29,033816000000","-53,056551000000","29,5"
"Jacutinga","4310900","-27,728494000000","-52,543173000000","72,7"
"Jaguarão","4311007","-32,563569000000","-53,377523000000","92,9"
"Jaguari","4311106","-29,497347000000","-54,693847000000","60,5"
"Jaquirana","4311122","-28,880568000000","-50,358037000000","65,4"
"Jari","4311130","-29,290081000000","-54,219936000000","27,3"
"Jóia","4311155","-28,645624000000","-54,115965000000","30,8"
"Júlio de Castilhos","4311205","-29,226449000000","-53,683100000000","84,8"
"Lagoa Bonita do Sul","4311239","-29,494131000000","-53,016983000000","20,6"
"Lagoa dos Três Cantos","4311270","-28,569468000000","-52,857835000000","64,8"
"Lagoa Vermelha","4311304","-28,208870000000","-51,527229000000","88,9"
"Lagoão","4311254","-29,224316000000","-52,775029000000","35,4"
"Lajeado","4311403","-29,465454000000","-51,967828000000","99,7"
"Lajeado do Bugre","4311429","-27,690769000000","-53,181387000000","32,5"
"Lavras do Sul","4311502","-30,812010000000","-53,898477000000","81,8"
"Liberato Salzano","4311601","-27,596470000000","-53,074861000000","34,1"
"Lindolfo Collor","4311627","-29,600804000000","-51,208155000000","84,0"
"Linha Nova","4311643","-29,462639000000","-51,201902000000","26,1"
"Maçambará","4311718","-29,146144000000","-56,063613000000","26,9"
"Machadinho","4311700","-27,568140000000","-51,667507000000","67,7"
"Mampituba","4311734","-29,210649000000","-49,936514000000","26,3"
"Manoel Viana","4311759","-29,580537000000","-55,491663000000","76,0"
"Maquiné","4311775","-29,679137000000","-50,203395000000","34,7"
"Maratá","4311791","-29,555323000000","-51,555567000000","35,6"
"Marau","4311809","-28,448454000000","-52,196777000000","90,6"
"Marcelino Ramos","4311908","-27,461391000000","-51,913319000000","54,1"
"Mariana Pimentel","4311981","-30,353622000000","-51,587343000000","16,7"
"Mariano Moro","4312005","-27,352613000000","-52,148892000000","60,9"
"Marques de Souza","4312054","-29,329137000000","-52,097804000000","43,1"
"Mata","4312104","-29,569392000000","-54,452435000000","59,3"
"Mato Castelhano","4312138","-28,275762000000","-52,197261000000","28,8"
"Mato Leitão","4312153","-29,524830000000","-52,133029000000","42,7"
"Mato Queimado","4312179","-28,255816000000","-54,616837000000","38,8"
"Maximiliano de Almeida","4312203","-27,634941000000","-51,801718000000","69,8"
"Minas do Leão","4312252","-30,122440000000","-52,051280000000","96,6"
"Miraguaí","4312302","-27,496076000000","-53,685994000000","52,7"
"Montauri","4312351","-28,653207000000","-52,076108000000","53,0"
"Monte Alegre dos Campos","4312377","-28,685072000000","-50,782834000000","22,7"
"Monte Belo do Sul","4312385","-29,159941000000","-51,631559000000","31,4"
"Montenegro","4312401","-29,688119000000","-51,461299000000","81,9"
"Mormaço","4312427","-28,693351000000","-52,692826000000","26,0"
"Morrinhos do Sul","4312443","-29,362964000000","-49,932763000000","47,8"
"Morro Redondo","4312450","-31,582203000000","-52,657780000000","48,2"
"Morro Reuter","4312476","-29,539342000000","-51,080088000000","72,8"
"Mostardas","4312500","-31,108225000000","-50,919159000000","68,9"
"Muçum","4312609","-29,165615000000","-51,866056000000","85,7"
"Muitos Capões","4312617","-28,318913000000","-51,184602000000","28,0"
"Muliterno","4312625","-28,330265000000","-51,768701000000","39,4"
"Não-Me-Toque","4312658","-28,459907000000","-52,819279000000","89,5"
"Nicolau Vergueiro","4312674","-28,536215000000","-52,462401000000","49,0"
"Nonoai","4312708","-27,354665000000","-52,776189000000","75,1"
"Nova Alvorada","4312757","-28,676564000000","-52,167134000000","56,2"
"Nova Araçá","4312807","-28,658176000000","-51,742165000000","81,3"
"Nova Bassano","4312906","-28,723469000000","-51,703231000000","69,7"
"Nova Boa Vista","4312955","-27,987968000000","-52,981477000000","47,3"
