ANO,BCG,PENTA,ROTA,MENINGOC,PNEUMO,POLIO,HEPB,IDHM,IDHM Renda,IDHM Educação,IDHM Longevidade,AREA_TERRITORIAL,PIB_PERCAPTA,DENSIDADE_DEMOGRAFICA,POPULACAO,POSTOS,mae_escolaridade_ens_medio,pop_urb(%),MACRORREGIAO_INT,PARTIDO PREFEITOS_INT
2020.0,95.83333345833333,126.9759485926655,106.52777786111112,122.08333358333336,121.38558201058203,118.518518518519,126.923076923077,0.763,0.776,0.676,0.834,405.034,68227.53,19.46,4704.0,98.0,34.0,72.8,4.0,7.0
2021.0,85.50685425685425,87.0967741935484,117.6653439153439,110.480549199085,121.38558201058203,107.70655270655271,113.4063143817545,0.763,0.776,0.676,0.834,405.034,68227.53,19.46,4704.0,98.0,34.0,72.8,4.0,7.0
2022.0,75.70932556349206,74.6815286624204,95.51910361977174,110.480549199085,110.44448509237219,96.50389086358356,100.0,0.763,0.776,0.676,0.834,405.034,68227.53,19.46,4704.0,98.0,34.0,72.8,4.0,7.0
2023.0,65.69850288600288,126.9759485926655,106.52777786111112,122.08333358333336,110.44448509237219,118.518518518519,126.923076923077,0.763,0.776,0.676,0.834,405.034,68227.53,19.46,4704.0,98.0,34.0,72.8,4.0,7.0
2024.0,35.1909184726522,113.513513513514,106.52777786111112,122.08333358333336,110.44448509237219,118.518518518519,113.4063143817545,0.763,0.776,0.676,0.834,405.034,68227.53,19.46,4704.0,98.0,34.0,72.8,4.0,7.0
2020.0,114.53373015873015,113.513513513514,62.5,99.00087270830306,65.15151533333334,118.518518518519,113.4063143817545,0.687,0.692,0.576,0.834,405.034,56792.915,19.46,4704.0,98.0,34.0,80.3,1.0,5.0
2021.0,55.9503105590062,74.6815286624204,230.769230769231,261.29960317460313,250.0,217.391304347826,220.86956521739148,0.687,0.692,0.576,0.834,405.034,56792.915,19.46,4704.0,98.0,34.0,80.3,1.0,5.0
2022.0,125.0,61.9047619047619,172.91666670833334,156.38888897222222,192.5925925925926,164.28571436904764,166.666666666667,0.687,0.692,0.576,0.834,405.034,56792.915,19.46,4704.0,98.0,34.0,80.3,1.0,5.0
2023.0,95.83333345833333,48.95833354166667,39.9399399399399,87.1754878072813,29.166667208333333,74.2857142857143,49.355158896825394,0.687,0.692,0.576,0.834,405.034,56792.915,19.46,4704.0,98.0,34.0,80.3,1.0,5.0
2024.0,125.0,22.916666833333323,28.1105856250365,31.6455696202532,29.166667208333333,30.000000149999998,22.916666833333323,0.687,0.692,0.576,0.834,405.034,56792.915,19.46,4704.0,98.0,34.0,80.3,1.0,5.0
2020.0,75.70932556349206,140.0,129.16666675,110.480549199085,121.38558201058203,118.518518518519,140.0,0.678,0.7,0.548,0.822,144.181,36271.065,243.59,4704.0,98.0,34.0,80.3,1.0,12.0
2021.0,104.98348072307598,87.0967741935484,62.5,76.271186440678,76.1904761904762,74.2857142857143,74.6913580246914,0.678,0.7,0.548,0.822,144.181,36271.065,243.59,4704.0,98.0,34.0,80.3,1.0,12.0
2022.0,85.50685425685425,126.9759485926655,84.83330327080324,87.1754878072813,76.1904761904762,85.2941176470588,74.6913580246914,0.678,0.7,0.548,0.822,144.181,36271.065,243.59,4704.0,98.0,34.0,80.3,1.0,12.0
2023.0,104.98348072307598,87.0967741935484,106.52777786111112,99.00087270830306,110.44448509237219,96.50389086358356,87.06016311118384,0.678,0.7,0.548,0.822,144.181,36271.065,243.59,4704.0,98.0,34.0,80.3,1.0,12.0
2024.0,104.98348072307598,140.0,129.16666675,133.5763890138889,121.38558201058203,141.74107151190475,140.0,0.678,0.7,0.548,0.822,144.181,36271.065,243.59,4704.0,98.0,34.0,80.3,1.0,12.0
2020.0,125.0,87.0967741935484,84.83330327080324,87.1754878072813,87.8787878787879,85.2941176470588,87.06016311118384,0.772,0.805,0.676,0.855,405.034,182819.23,19.46,4704.0,98.0,34.0,60.75,0.0,9.0
2021.0,65.69850288600288,61.9047619047619,106.52777786111112,99.00087270830306,110.44448509237219,85.2941176470588,87.06016311118384,0.772,0.805,0.676,0.855,405.034,182819.23,19.46,4704.0,98.0,34.0,60.75,0.0,9.0
2022.0,104.98348072307598,87.0967741935484,73.6418511066398,76.271186440678,76.1904761904762,85.2941176470588,74.6913580246914,0.772,0.805,0.676,0.855,405.034,182819.23,19.46,4704.0,98.0,34.0,60.75,0.0,9.0
2023.0,75.70932556349206,100.0,106.52777786111112,133.5763890138889,110.44448509237219,96.50389086358356,100.0,0.772,0.805,0.676,0.855,405.034,182819.23,19.46,4704.0,98.0,34.0,60.75,0.0,9.0
2024.0,125.0,126.9759485926655,117.6653439153439,110.480549199085,121.38558201058203,118.518518518519,126.923076923077,0.772,0.805,0.676,0.855,405.034,182819.23,19.46,4704.0,98.0,34.0,60.75,0.0,9.0
2020.0,125.0,100.0,106.52777786111112,99.00087270830306,110.44448509237219,96.50389086358356,100.0,0.772,0.751,0.705,0.86,144.181,88848.11,145.6,4704.0,98.0,34.0,83.1,3.0,7.0
2021.0,104.98348072307598,100.0,84.83330327080324,65.0,76.1904761904762,74.2857142857143,74.6913580246914,0.772,0.751,0.705,0.86,144.181,88848.11,145.6,4704.0,98.0,34.0,83.1,3.0,7.0
2022.0,85.50685425685425,87.0967741935484,84.83330327080324,87.1754878072813,87.8787878787879,74.2857142857143,61.77257512796453,0.772,0.751,0.705,0.86,144.181,88848.11,145.6,4704.0,98.0,34.0,83.1,3.0,7.0
2023.0,104.98348072307598,154.36868691035355,117.6653439153439,110.480549199085,144.54365083531744,154.78670634920644,154.72222230555556,0.772,0.751,0.705,0.86,144.181,88848.11,145.6,4704.0,98.0,34.0,83.1,3.0,7.0
2024.0,114.53373015873015,87.0967741935484,106.52777786111112,76.271186440678,121.38558201058203,85.2941176470588,87.06016311118384,0.772,0.751,0.705,0.86,144.181,88848.11,145.6,4704.0,98.0,34.0,83.1,3.0,7.0
2020.0,125.0,126.9759485926655,84.83330327080324,76.271186440678,76.1904761904762,107.70655270655271,126.923076923077,0.667,0.761,0.461,0.86,144.181,36271.065,19.46,4704.0,98.0,34.0,27.3,6.0,1.0
2021.0,55.9503105590062,154.36868691035355,73.6418511066398,87.1754878072813,76.1904761904762,63.3333333333333,61.77257512796453,0.667,0.761,0.461,0.86,144.181,36271.065,19.46,4704.0,98.0,34.0,27.3,6.0,1.0
2022.0,174.193548387097,166.666666666667,106.52777786111112,99.00087270830306,98.8532110091743,85.2941176470588,87.06016311118384,0.667,0.761,0.461,0.86,144.181,36271.065,19.46,4704.0,98.0,34.0,27.3,6.0,1.0
2023.0,104.98348072307598,140.0,184.857142857143,231.96530325696995,179.2857142857145,141.74107151190475,140.0,0.667,0.761,0.461,0.86,144.181,36271.065,19.46,4704.0,98.0,34.0,27.3,6.0,1.0
2024.0,95.83333345833333,140.0,106.52777786111112,110.480549199085,110.44448509237219,141.74107151190475,140.0,0.667,0.761,0.461,0.86,144.181,36271.065,19.46,4704.0,98.0,34.0,27.3,6.0,1.0
2020.0,75.70932556349206,113.513513513514,117.6653439153439,122.08333358333336,121.38558201058203,118.518518518519,113.4063143817545,0.743,0.743,0.646,0.843,144.181,36271.065,19.46,4704.0,98.0,34.0,94.4,1.0,2.0
2021.0,35.1909184726522,140.0,84.83330327080324,87.1754878072813,87.8787878787879,85.2941176470588,87.06016311118384,0.743,0.743,0.646,0.843,144.181,36271.065,19.46,4704.0,98.0,34.0,94.4,1.0,2.0
2022.0,25.972222722222217,74.6815286624204,106.52777786111112,122.08333358333336,121.38558201058203,118.518518518519,126.923076923077,0.743,0.743,0.646,0.843,144.181,36271.065,19.46,4704.0,98.0,34.0,94.4,1.0,2.0
2023.0,104.98348072307598,100.0,106.52777786111112,76.271186440678,121.38558201058203,96.50389086358356,100.0,0.743,0.743,0.646,0.843,144.181,36271.065,19.46,4704.0,98.0,34.0,94.4,1.0,2.0
2024.0,85.50685425685425,87.0967741935484,95.51910361977174,99.00087270830306,110.44448509237219,85.2941176470588,87.06016311118384,0.743,0.743,0.646,0.843,144.181,36271.065,19.46,4704.0,98.0,34.0,94.4,1.0,2.0
2020.0,2.63157894736842,100.0,106.52777786111112,110.480549199085,110.44448509237219,96.50389086358356,100.0,0.706,0.7084999999999999,0.591,0.849,405.034,36271.065,19.46,4704.0,98.0,34.0,50.3,3.0,7.0
2021.0,95.83333345833333,126.9759485926655,140.824915824916,133.5763890138889,144.54365083531744,141.74107151190475,140.0,0.706,0.7084999999999999,0.591,0.849,405.034,36271.065,19.46,4704.0,98.0,34.0,50.3,3.0,7.0
2022.0,95.83333345833333,87.0967741935484,73.6418511066398,87.1754878072813,76.1904761904762,85.2941176470588,74.6913580246914,0.706,0.7084999999999999,0.591,0.849,405.034,36271.065,19.46,4704.0,98.0,34.0,50.3,3.0,7.0
2023.0,95.83333345833333,100.0,106.52777786111112,122.08333358333336,110.44448509237219,107.70655270655271,100.0,0.706,0.7084999999999999,0.591,0.849,405.034,36271.065,19.46,4704.0,98.0,34.0,50.3,3.0,7.0
2024.0,104.98348072307598,113.513513513514,106.52777786111112,110.480549199085,121.38558201058203,118.518518518519,113.4063143817545,0.706,0.7084999999999999,0.591,0.849,405.034,36271.065,19.46,4704.0,98.0,34.0,50.3,3.0,7.0
2020.0,55.9503105590062,126.9759485926655,129.16666675,122.08333358333336,132.142857142857,118.518518518519,126.923076923077,0.697,0.7,0.576,0.834,405.034,27276.97,19.46,4704.0,98.0,34.0,90.5,1.0,4.0
